"","TeamID","SEASON","LeagueID","PLAYER","NICKNAME","PLAYER_SLUG","NUM","POSITION","HEIGHT","WEIGHT","BIRTH_DATE","AGE","EXP","SCHOOL","PLAYER_ID","HOW_ACQUIRED"
"1","1611661323","2003","10","Asjha Jones","Asjha","asjha-jones",NA,"F","6-2","198","AUG 01, 1980","23","2","Connecticut","100723",NA
"2","1611661323","2003","10","Wendy Palmer","Wendy","wendy-palmer","3","F","6-2","165","AUG 12, 1974","29","7","Virginia '96","100046",NA
"3","1611661323","2003","10","Anastasia Kostaki","Anastasia","anastasia-kostaki","10","G-F","5-7","137","MAR 26, 1978","26","R","Greece","100786",NA
"4","1611661323","2003","10","Taj McWilliams-Franklin","Taj","taj-mcwilliams-franklin","11","F-C","6-2","184","OCT 20, 1970","33","5","St. Edward's","100412",NA
"5","1611661323","2003","10","Brooke Wyckoff","Brooke","brooke-wyckoff","21","F","6-1","183","MAR 30, 1980","24","3","Florida State","100667",NA
"6","1611661323","2003","10","Debbie Black","Debbie","debbie-black","24","G","5-3","124","JUL 29, 1966","37","5","St. Joseph''s ''88","100359",NA
"7","1611661323","2003","10","Adrienne Johnson","Adrienne","adrienne-johnson","31","G","5-10","154","FEB 05, 1974","30","6","Ohio State","100100",NA
"8","1611661323","2003","10","Katie Douglas","Katie","katie-douglas","32","G-F","6-0","165","MAY 07, 1979","25","3","Purdue","100666",NA
"9","1611661323","2003","10","Nykesha Sales","Nykesha","nykesha-sales","42","F-G","6-0","184","MAY 10, 1976","28","5","Connecticut","100415",NA
"10","1611661323","2003","10","Rebecca Lobo","Rebecca","rebecca-lobo","50","C","6-4","185","OCT 06, 1973","30","5","Connecticut","100002",NA
"11","1611661321","2003","10","Isabel Sanchez","Isabel","isabel-sanchez",NA,"G","5-10","152","NOV 28, 1976","27","R","Spain","100913",NA
"12","1611661321","2003","10","Ruth Riley","Ruth","ruth-riley","00","C","6-5","195","AUG 28, 1979","24","3","Notre Dame","100656",NA
"13","1611661321","2003","10","Elaine Powell","Elaine","elaine-powell","5","G","5-9","147","AUG 09, 1975","28","5","Louisiana State","100414",NA
"14","1611661321","2003","10","Stacey Thomas","Stacey","stacey-thomas","9","F","5-10","154","AUG 29, 1978","25","4","Michigan '00","100532",NA
"15","1611661321","2003","10","Ayana Walker","Ayana","ayana-walker","12","F","6-3","143","SEP 10, 1979","24","2","Louisiana Tech '02","100740",NA
"16","1611661321","2003","10","Deanna Nolan","Deanna","deanna-nolan","14","G-F","6-0","160","AUG 25, 1979","24","3","Georgia","100639",NA
"17","1611661321","2003","10","Jennifer Rizzotti","Jennifer","jennifer-rizzotti","21","G","5-6","146","MAY 15, 1974","30","5","Connecticut","100338",NA
"18","1611661321","2003","10","Merlakia Jones","Merlakia","merlakia-jones","25","G","5-10","147","JUN 21, 1973","31","7","Florida '95","100092",NA
"19","1611661321","2003","10","Sheila Lambert","Sheila","sheila-lambert","31","G","5-7","125","JUL 21, 1980","23","2","Baylor","100726",NA
"20","1611661321","2003","10","Swin Cash","Swin","swin-cash","32","F","6-2","162","SEP 22, 1979","24","2","Connecticut","100721",NA
"21","1611661321","2003","10","Cheryl Ford","Cheryl","cheryl-ford","35","F","6-3","215","JUN 06, 1981","23","1","Louisiana Tech","100843",NA
"22","1611661321","2003","10","Barbara Farris","Barbara","barbara-farris","54","F-C","6-3","195","SEP 10, 1976","27","4","Tulane","100494",NA
"23","1611661321","2003","10","Petra Ujhelyi","Petra","petra-ujhelyi","55","C","6-4","200","DEC 17, 1980","23","1","South Carolina '03","100856",NA
"24","1611661325","2003","10","Leigh Aziz","Leigh","leigh-aziz","2","F","6-3","177","FEB 28, 1979","25","1","Syracuse","100847",NA
"25","1611661325","2003","10","Deanna Jackson","Deanna","deanna-jackson","5","F","6-2","159","DEC 15, 1979","24","2","Alabama-Birmingham '02","100727",NA
"26","1611661325","2003","10","Kelly Miller","Kelly","kelly-miller","8","G","5-10","140","SEP 06, 1978","25","3","Georgia","100627",NA
"27","1611661325","2003","10","Kelly Schumacher","Kelly","kelly-schumacher","11","C","6-4","189","OCT 14, 1977","26","3","Connecticut","100648",NA
"28","1611661325","2003","10","Natalie Williams","Natalie","natalie-williams","12","F","6-2","210","NOV 30, 1970","33","5","UCLA '94","100366",NA
"29","1611661325","2003","10","Coretta Brown","Coretta","coretta-brown","14","G","5-9","150","OCT 21, 1980","23","1","North Carolina '03","100848",NA
"30","1611661325","2003","10","Nikki McCray","Nikki","nikki-mccray","15","G","5-11","158","DEC 17, 1971","32","4","Tennessee '95","100198",NA
"31","1611661325","2003","10","Penny McCray, Nikki (","Penny","penny-mccray,-nikki-(","15","G","5-11","158",NA,NA,"4","Tennessee","100069",NA
"32","1611661325","2003","10","Jaynetta Saunders","Jaynetta","jaynetta-saunders","21","F","5-11","145","AUG 21, 1979","24","2","Texas A&M","100635",NA
"33","1611661325","2003","10","Tamika Catchings","Tamika","tamika-catchings","24","F","6-1","167","JUL 21, 1979","24","2","Tennessee","100646",NA
"34","1611661325","2003","10","Kate Starbird","Kate","kate-starbird","30","F-G","6-1","153","JUL 30, 1975","28","4","Stanford","100422",NA
"35","1611661325","2003","10","Bridget Pettis","Bridget","bridget-pettis","32","G","5-9","150","JAN 01, 1971","33","7","Florida ''93","100031",NA
"36","1611661325","2003","10","Niele Ivey","Niele","niele-ivey","33","G","5-7","149","SEP 24, 1977","26","3","Notre Dame '01","100650",NA
"37","1611661325","2003","10","Astou Ndiaye-Diatta","Astou","astou-ndiaye-diatta","44","F-C","6-3","182","NOV 05, 1973","30","5","Southern Nazarene '97","100387",NA
"38","1611661325","2003","10","Kristen Rasmussen","Kristen","kristen-rasmussen","52","F","6-4","172","NOV 01, 1978","25","4","Michigan State","100552",NA
"39","1611661319","2003","10","Sylvia Crawley","Sylvia","sylvia-crawley","00","F","6-5","187","SEP 27, 1972","31","4","North Carolina ''94","100529",NA
"40","1611661319","2003","10","Marie Ferdinand-Harris","Marie","marie-ferdinand-harris","3","G","5-9","145","OCT 13, 1978","25","3","LSU","100685",NA
"41","1611661319","2003","10","Jessie Hicks","Jessie","jessie-hicks","7","C-F","6-4","188","DEC 02, 1971","32","5","Maryland '93","100048",NA
"42","1611661319","2003","10","Jennifer Azzi","Jennifer","jennifer-azzi","8","G","5-8","143","AUG 31, 1968","35","4","Stanford","100382",NA
"43","1611661319","2003","10","Tai Dillard","Tai","tai-dillard","9","G","5-9","146","MAY 06, 1981","23","1","Texas '03","100866",NA
"44","1611661319","2003","10","Agnieszka Bibrzycka","Agnieszka","agnieszka-bibrzycka","10","G-F","6-2",NA,"OCT 21, 1982","21","R","Poland","100912",NA
"45","1611661319","2003","10","Jamie Redd","Jamie","jamie-redd","11","F","6-1","164","NOV 05, 1977","26","3","Washington","100541",NA
"46","1611661319","2003","10","Margo Dydek","Margo","margo-dydek","12","C","7-2","223","APR 28, 1974","30","6","Poland","100239",NA
"47","1611661319","2003","10","Gwen Jackson","Gwen","gwen-jackson","13","F","6-2","184","OCT 23, 1980","23","1","Tennessee '03","100867",NA
"48","1611661319","2003","10","Shannon Johnson","Shannon","shannon-johnson","14","G","5-7","144","AUG 18, 1974","29","5","South Carolina","100410",NA
"49","1611661319","2003","10","Adrienne Goodson","Adrienne","adrienne-goodson","15","F","6-0","163","OCT 19, 1966","37","5","Old Dominion '88","100363",NA
"50","1611661319","2003","10","Vanessa Nygaard","Vanessa","vanessa-nygaard","18","F","6-1","175","MAR 13, 1975","29","5","Stanford","100215",NA
"51","1611661319","2003","10","Kym Hope","Kym","kym-hope","21","F-C","6-2","165","NOV 23, 1977","26","1","Miami","100408",NA
"52","1611661319","2003","10","Semeka Randall","Semeka","semeka-randall","21","G","5-8","168","FEB 07, 1979","25","3","Tennessee ''01","100683",NA
"53","1611661319","2003","10","LaTonya Johnson","LaTonya","latonya-johnson","23","F","6-1","150","AUG 17, 1975","28","6","Memphis '98","100242",NA
"54","1611661319","2003","10","LaToya Thomas","LaToya","latoya-thomas","32","F","6-2","170","JUL 06, 1981","22","1","Mississippi State","100883",NA
"55","1611661320","2003","10","Teresa Weatherspoon","Teresa","teresa-weatherspoon",NA,"G","5-8","161","DEC 08, 1965","38","7","Louisiana Tech","100101",NA
"56","1611661320","2003","10","Raffaella Masciadri","Raffaella","raffaella-masciadri",NA,"F","6-0",NA,"SEP 30, 1980","23","R","Italy","100988",NA
"57","1611661320","2003","10","Laura Macchi","Laura","laura-macchi",NA,"F","6-1",NA,"MAY 24, 1979","25","R","Italy","100987",NA
"58","1611661320","2003","10","Mwadi Mabika","Mwadi","mwadi-mabika","4","F","5-11","165","JUL 27, 1976","27","7","Congo","100012",NA
"59","1611661320","2003","10","Tamara Stocks","Tamara","tamara-stocks","4","F-C","6-2","165","JAN 29, 1979","25","1","Florida","100691",NA
"60","1611661320","2003","10","Tausha Mills","Tausha","tausha-mills","5","C","6-3","232","FEB 29, 1976","28","4","Alabama","100555",NA
"61","1611661320","2003","10","Brandi McCain","Brandi","brandi-mccain","7","G","5-3","135","SEP 21, 1979","24","1","Florida ''02","100744",NA
"62","1611661320","2003","10","DeLisha Milton-Jones","DeLisha","delisha-milton-jones","8","F","6-1","172","SEP 11, 1974","29","5","Florida","100396",NA
"63","1611661320","2003","10","Lisa Leslie","Lisa","lisa-leslie","9","C","6-5","170","JUL 07, 1972","31","7","USC","100003",NA
"64","1611661320","2003","10","Isabelle Fijalkowski","Isabelle","isabelle-fijalkowski","13","C-F","6-5","200","MAY 23, 1972","32","2","Colorado","100089",NA
"65","1611661320","2003","10","Shaquala Williams","Shaquala","shaquala-williams","20","G","5-6","135","APR 14, 1980","24","1","Oregon","100885",NA
"66","1611661320","2003","10","Tamecka Dixon","Tamecka","tamecka-dixon","21","G","5-9","148","DEC 14, 1975","28","7","Kansas","100008",NA
"67","1611661320","2003","10","Jennifer Gillom","Jennifer","jennifer-gillom","22","F-C","6-3","180","JUN 13, 1964","40","7","Mississippi","100030",NA
"68","1611661320","2003","10","Danielle Crockrom","Danielle","danielle-crockrom","34","F","6-1","158","FEB 11, 1981","23","1","Baylor","100730",NA
