"playerid","Season"
1010460,1994
1006075,1994
1008193,1994
1005667,1994
1003473,1994
76,1994
1007175,1994
1012084,1994
1010560,1994
1001248,1994
104,1994
1005013,1994
1012788,1994
115,1994
90,1994
1005741,1994
1013299,1994
1011355,1994
349,1994
1009771,1994
952,1994
1009326,1994
1008241,1994
1013978,1994
1004906,1994
1012941,1994
1005686,1994
849,1994
1013111,1994
1008092,1994
1012802,1994
1005088,1994
1005767,1994
1188,1994
1139,1994
647,1994
414,1994
1011608,1994
1013327,1994
1012218,1994
1011823,1994
441,1994
1013675,1994
1012191,1994
436,1994
1001231,1994
1001213,1994
1006295,1994
1008281,1994
1001646,1994
1005374,1994
1163,1994
1006552,1994
1011189,1994
1003257,1994
1011294,1994
1000766,1994
1014206,1994
1000490,1994
1005176,1994
1000236,1994
92,1994
1005416,1994
898,1994
1001887,1994
1004240,1994
1006011,1994
1000325,1994
1037,1994
1002570,1994
1012069,1994
1013815,1994
1013896,1994
1011045,1994
975,1994
1014,1994
694,1994
1002064,1994
1011153,1994
1001358,1994
1014170,1994
72,1994
1014362,1994
1013108,1994
1008477,1994
291,1994
1011369,1994
1000285,1994
1008913,1994
1279,1994
1008475,1994
1013690,1994
430,1994
1001436,1994
1002989,1994
1013750,1994
1276,1994
1001619,1994
1004304,1994
1005414,1994
1005705,1994
1006475,1994
1006255,1994
1009427,1994
1013412,1994
1008640,1994
1009791,1994
1003615,1994
1008982,1994
1010140,1994
1005635,1994
1005668,1994
360,1994
95,1994
1001226,1994
1009121,1994
1011423,1994
1004326,1994
1144,1994
1004852,1994
1001566,1994
1007587,1994
1283,1994
732,1994
1002242,1994
551,1994
1003736,1994
1008180,1994
1012881,1994
1513,1994
1000694,1994
1002768,1994
1009905,1994
1011694,1994
1053,1994
1003671,1994
874,1994
1007951,1994
1011743,1994
1239,1994
1730,1994
1004824,1994
1009068,1994
1123,1994
1009412,1994
511,1994
669,1994
1463,1994
1005827,1994
637,1994
1035,1994
1319,1994
1013490,1994
1000951,1994
1005363,1994
456,1994
1006643,1994
1628,1994
1005160,1994
996,1994
1008190,1994
67,1994
1005333,1994
1012734,1994
1001911,1994
1013019,1994
180,1994
1240,1994
1002012,1994
1011295,1994
1001033,1994
1128,1994
1010999,1994
1003874,1994
1011542,1994
1662,1994
1005830,1994
1675,1994
73,1994
1006050,1994
1434,1994
1006330,1994
200,1994
1010700,1994
287,1994
111,1994
1001007,1994
1004251,1994
574,1994
1013799,1994
1004529,1994
1039,1994
