"","username","age","name","year","games_played","start_rating","end_rating","avg_rating","max_rating","min_rating","X","title","gender"
"1","0815original",54,"Dirk Paulsen",2013,698,1371,2153,2005.61461318052,2188,1323,4609,"FM","M"
"2","0815original",55,"Dirk Paulsen",2014,263,2157,2129,2171.536121673,2231,1994,4609,"FM","M"
"3","0815original",56,"Dirk Paulsen",2015,82,2131,2142,2139.18292682927,2176,2110,4609,"FM","M"
"4","0815original",57,"Dirk Paulsen",2016,34,2148,2093,2136.61764705882,2184,2093,4609,"FM","M"
"5","0815original",58,"Dirk Paulsen",2017,235,2185,2274,2329.56170212766,2425,2091,4609,"FM","M"
"6","0815original",59,"Dirk Paulsen",2018,6,2113,2113,2113,2113,2113,4609,"FM","M"
"7","0815original",61,"Dirk Paulsen",2021,79,2206,2311,2280.44303797468,2321,2206,4609,"FM","M"
"8","0815original",62,"Dirk Paulsen",2021,4,2310,2315,2316.5,2324,2310,4609,"FM","M"
"9","0815original",63,"Dirk Paulsen",2022,6,2320,2180,2215.33333333333,2320,2113,4609,"FM","M"
"10","0815original",64,"Dirk Paulsen",2023,42,2183,2359,2360.07142857143,2456,2183,4609,"FM","M"
"11","0815original",65,"Dirk Paulsen",2024,644,2010,2493,2356.67080745342,2502,2010,4609,"FM","M"
"12","0815original",66,"Dirk Paulsen",2025,86,2491,2480,2471.18604651163,2506,2426,4609,"FM","M"
"13","16wise",33,"Ali Morshedi",2016,1,1441,1441,1441,1441,1441,4613,"FM","M"
"14","16wise",35,"Ali Morshedi",2018,746,2331,2187,2226.06434316354,2405,2088,4613,"FM","M"
"15","16wise",36,"Ali Morshedi",2019,1101,2195,2271,2205.04359673025,2349,2119,4613,"FM","M"
"16","16wise",37,"Ali Morshedi",2020,1,2263,2263,2263,2263,2263,4613,"FM","M"
"17","16wise",38,"Ali Morshedi",2021,748,2299,2234,2275.98262032086,2376,1728,4613,"FM","M"
"18","16wise",39,"Ali Morshedi",2022,459,2242,2201,2224.11546840959,2325,1830,4613,"FM","M"
"19","16wise",40,"Ali Morshedi",2023,812,2219,2311,2229.14285714286,2327,2112,4613,"FM","M"
"20","16wise",41,"Ali Morshedi",2024,584,2318,2301,2267.43150684932,2379,1944,4613,"FM","M"
"21","1scaramouche1",78,"Larry Evans",2011,244,1107,2020,1975.18852459016,2112,1051,1861,"IM","M"
"22","1scaramouche1",79,"Larry Evans",2011,1922,2089,1709,1846.39646201873,2117,1436,1861,"IM","M"
"23","1scaramouche1",80,"Larry Evans",2012,689,1698,1771,1755.16690856313,2053,1416,1861,"IM","M"
"24","1scaramouche1",81,"Larry Evans",2013,2129,1773,1632,1685.93940817285,1935,1488,1861,"IM","M"
"25","1scaramouche1",82,"Larry Evans",2014,2415,1635,1703,1681.37391304348,1844,1503,1861,"IM","M"
"26","1scaramouche1",83,"Larry Evans",2015,2560,1709,1799,1721.734375,1913,1327,1861,"IM","M"
"27","1scaramouche1",84,"Larry Evans",2016,1659,1791,1799,1860.82820976492,2127,1235,1861,"IM","M"
"28","1scaramouche1",85,"Larry Evans",2017,1949,1797,1749,1814.82042072858,2100,1287,1861,"IM","M"
"29","1scaramouche1",86,"Larry Evans",2018,1472,1756,1803,1799.29551630435,2135,1652,1861,"IM","M"
"30","1scaramouche1",87,"Larry Evans",2019,107,1788,1836,1831.7476635514,1953,1777,1861,"IM","M"
"31","1scaramouche1",88,"Larry Evans",2020,17,1801,2363,2012.41176470588,2401,1672,1861,"IM","M"
"32","1scaramouche1",92,"Larry Evans",2025,44,2420,1936,2096.47727272727,2420,1936,1861,"IM","M"
"33","1stsecond",19,"Nikita Meshkovs",2014,61,1323,2341,2189.88524590164,2362,1323,5,"GM","M"
"34","1stsecond",20,"Nikita Meshkovs",2014,115,2355,2300,2324.93913043478,2401,1131,5,"GM","M"
"35","1stsecond",21,"Nikita Meshkovs",2015,1632,2312,2694,2538.0618872549,2706,1375,5,"GM","M"
"36","1stsecond",22,"Nikita Meshkovs",2016,2044,2519,2484,2545.06849315068,2825,2415,5,"GM","M"
"37","1stsecond",23,"Nikita Meshkovs",2017,2427,2492,2638,2543.97156983931,2750,1459,5,"GM","M"
"38","1stsecond",24,"Nikita Meshkovs",2018,3125,2647,2763,2731.55424,2932,1555,5,"GM","M"
"39","1stsecond",25,"Nikita Meshkovs",2019,2459,1930,2814,2775.99877999187,2907,1930,5,"GM","M"
"40","1stsecond",26,"Nikita Meshkovs",2020,503,2822,2683,2791.34990059642,2873,2413,5,"GM","M"
"41","1stsecond",27,"Nikita Meshkovs",2021,207,2680,2792,2787.11111111111,2887,2487,5,"GM","M"
"42","1stsecond",28,"Nikita Meshkovs",2022,359,2794,2789,2718.90250696379,2892,1930,5,"GM","M"
"43","1stsecond",29,"Nikita Meshkovs",2023,900,2779,2909,2862.24666666667,2979,2450,5,"GM","M"
"44","1stsecond",30,"Nikita Meshkovs",2024,577,2935,2980,2931.3726169844,3022,2518,5,"GM","M"
"45","72hitman72",43,"Pieter Hopman",2016,638,1933,2281,2257.37304075235,2354,1801,1865,"IM","M"
