"","username","name","country"
"1","0blivi0usspy",NA,NA
"2","123lt","Tingjie Lei","CN"
"3","124chess","Dmitriy Khegay","RU"
"4","1977ivan","Ivan Ivanisevic","RS"
"5","1stsecond","Nikita Meshkovs","LV"
"6","2bf41-0","Kirk Ghazarian","US"
"7","a-adly","Ahmed Adly","EG"
"8","a-fier","Alex Fier","BR"
"9","abasovn","Nijat Abasov","AZ"
"10","abbasifarhassan","Hassan Abbasifar","IR"
"11","abbasovfarid1979","Farid Abbasov","AZ"
"12","abdimalik_abdisalimov","Abdimalik Abdisalimov","UZ"
"13","abhidabhi","Abhimanyu Puranik","IN"
"14","abhijeetgupta","Abhijeet Gupta","IN"
"15","abhijeetgupta1016",NA,NA
"16","abhijeetonyoutube",NA,"IN"
"17","abhyak","Abhijeet Kunte","IN"
"18","absentzest",NA,"US"
"19","abykhovsky","Anatoly Bykhovsky","US"
"20","aceontheturn","Bartlomiej Heberla","PL"
"21","adananpale",NA,"US"
"22","adaro",NA,"CA"
"23","adham_fawzy","Adham Fawzy","PS"
"24","adiosabu","Alder Escobar Forero","CO"
"25","adotand","Pranav Anand","IN"
"26","afgano29","Andres Felipe Gallego Alcaraz","CO"
"27","aggy67",NA,"US"
"28","agser","Ottomar Ladva","EE"
"29","ahmadzadaa","Ahmad Ahmadzada","AZ"
"30","ahmad_alkhatib11","Ahmad Al khatib","JO"
"31","airgun1","Aaron P Summerscale","GB"
"32","akshatchandra","Akshat Chandra","US"
"33","akshayraj_kore","Akshayraj Kore","US"
"34","alefedorov","Alexei Fedorov","BY"
"35","aleksa74","Aleksandar Kovacevic","RS"
"36","aleksandrovaleksei","Aleksei Aleksandrov","BY"
"37","aleksey_sorokin","Aleksey Sorokin","US"
"38","alexander-evdokimov","Alexander Evdokimov","RU"
"39","alexanderl","Aleksandr Lenderman","US"
"40","alexander_donchenko","Alexander Donchenko","XX"
"41","alexander_moskalenko","Alexander Moskalenko","CZ"
"42","alexander_zubov","Alexander Zubov","UA"
"43","alexandr_predke","Alexandr Predke","RS"
"44","alexchess1984","Alexey Kislinsky","CZ"
"45","alexcolovic","Aleksandar Colovic","MK"
"46","alexeishirov","Alexei Shirov","ES"
"47","alexei_kornev","Alexei Kornev","RU"
"48","alexhuzman","Alex Huzman","IL"
"49","alexonischuk","Alexander Onischuk","US"
"50","alexrustemov","Alexander Rustemov","RU"
"51","alexsur1981","Aleksei Pridorozhni","RU"
"52","alexvangog","Aleksey Goganov","RU"
"53","alexyermo","Alex Yermolinsky","US"
"54","alex_goloshchapov","Aleksander Goloshchapov","UA"
"55","alex_stripunsky","Alex Stripunsky","US"
"56","algeriano22","Mohamed Haddouche","DZ"
"57","alieraiseafireoozeuh",NA,"ES"
"58","alishersuleymenov","Alisher Suleymenov","KZ"
"59","allanstig","Allan Stig Rasmussen","DK"
"60","allstarserious",NA,"US"
"61","almo64","Alexander Motylev","RO"
"62","alpacacheck",NA,"PE"
"63","alrayyan2022","Hicham Hamdouchi","QA"
"64","alrayyan2024",NA,"QA"
"65","aman","Aman Hambleton","CA"
"66","ameetghasi100","Ameet Ghasi","GB"
"67","amintabatabaei","Amin Tabatabaei","IR"
"68","amir-zaibi","Amir Zaibi","TN"
"69","amirbagheri78","Amir Bagheri","MC"
"70","amirreza_p","Amirreza Pourramezanali","IR"
"71","anaconda1983","Gergely-Andras-Gyula Szabo","RO"
"72","anand","Viswanathan Anand","IN"
"73","ancarmaran","Antonio Antunes","PT"
"74","andabata",NA,"US"
"75","andrbaryshpolets","Andrii Baryshpolets","US"
"76","andreikka","Andrey Esipenko","RU"
"77","andrei_belozerov","Andrei Belozerov","RU"
"78","andrejs_sokolov","Andrejs Sokolovs","LV"
"79","andreystukopin","Andrey Stukopin","US"
"80","androqueen",NA,"IL"
"81","andyrodri","Andres Rodriguez Vila","UY"
"82","angelogm","Kevin Joel Cori Quispe","PE"
"83","angry_twin","Andrey Drygalov","JP"
"84","anishgiri","Anish Giri","NL"
"85","anishonyoutube","Anish Giri","NL"
"86","ankit_chessneurons","Ankit Rajpara","IN"
"87","annawel","Jules Moussard","FR"
"88","anna_muzychuk","Anna Muzychuk","UA"
"89","anon219",NA,"NO"
"90","anthonywirig","Anthony Wirig","FR"
"91","antipov_mikhail_al","Mikhail Antipov","US"
"92","antonshomoev","Anton Shomoev","RU"
"93","antonsmirnov","Anton Smirnov","AU"
"94","anton_demchenko","Anton Demchenko","SI"
"95","anuar_is","Anuar Ismagambetov","KZ"
"96","anurag328","Anurag Mhamal","IN"
"97","aoitsukibluemoon","Wang Hao","JP"
"98","apocalyps999","Vahe Baghdasaryan","AM"
"99","aquarium76","Nodirbek Yakubboev","UZ"
"100","aradej","Dejan Pikula","RS"
"101","arambai",NA,"TH"
"102","arcticbear64",NA,"GL"
"103","arcymisie","Akademia Szachowa","PL"
"104","arencibia","Walter Arencibia","CU"
"105","argyllprince",NA,"VG"
"106","ariancito1","Arian González Pérez","CU"
"107","arjun2002","Arjun Kalyan","IN"
