"","TeamID","SEASON","LeagueID","PLAYER","NICKNAME","PLAYER_SLUG","NUM","POSITION","HEIGHT","WEIGHT","BIRTH_DATE","AGE","EXP","SCHOOL","PLAYER_ID","HOW_ACQUIRED"
"1","1610612737","2002","00","Nazr Mohammed","Nazr","nazr-mohammed","2","C","6-10","250","SEP 05, 1977","25","4","Kentucky","1737",NA
"2","1610612737","2002","00","Shareef Abdur-Rahim","Shareef","shareef-abdur-rahim","3","F","6-9","240","DEC 11, 1976","26","6","California","949",NA
"3","1610612737","2002","00","Antonio Harvey","Antonio","antonio-harvey","4","F-C","6-11","250","JUL 06, 1970","32","7","Pfeiffer","176",NA
"4","1610612737","2002","00","Chris Crawford","Chris","chris-crawford","4","F","6-9","235","MAY 13, 1975","28","5","Marquette","1544",NA
"5","1610612737","2002","00","Dion Glover","Dion","dion-glover","5","F-G","6-5","228","OCT 22, 1978","24","3","Georgia Tech","1901",NA
"6","1610612737","2002","00","Maurice Carter","Maurice","maurice-carter","7","G","6-5","210","OCT 12, 1976","26","R","Louisiana State","2466",NA
"7","1610612737","2002","00","Darvin Ham","Darvin","darvin-ham","8","F-G","6-7","230","JUL 23, 1973","29","5","Texas Tech","1032",NA
"8","1610612737","2002","00","Dan Dickau","Dan","dan-dickau","12","G","6-0","190","SEP 16, 1978","24","R","Gonzaga","2424",NA
"9","1610612737","2002","00","Glenn Robinson","Glenn","glenn-robinson","13","F","6-7","230","JAN 10, 1973","30","8","Purdue","299",NA
"10","1610612737","2002","00","Ira Newble","Ira","ira-newble","14","F","6-7","220","JAN 20, 1975","28","2","Miami (Ohio)","1956",NA
"11","1610612737","2002","00","Emanual Davis","Emanual","emanual-davis","15","G","6-5","195","AUG 27, 1968","34","5","Delaware State","1023",NA
"12","1610612737","2002","00","Mario Bennett","Mario","mario-bennett","24","C-F","6-9","235","AUG 01, 1973","29","4","Arizona State","712",NA
"13","1610612737","2002","00","Jason Terry","Jason","jason-terry","31","G","6-2","180","SEP 15, 1977","25","3","Arizona","1891",NA
"14","1610612737","2002","00","Theo Ratliff","Theo","theo-ratliff","42","C-F","6-10","230","APR 17, 1973","30","7","Wyoming","689",NA
