"playerid","Season","GP"
3,1997,34
3,1999,34
3,2000,31
3,2001,33
3,2002,32
3,2003,23
3,2004,2
5,2008,4
6,2008,48
7,1999,6
7,2002,6
7,2003,23
7,2004,4
8,1997,61
8,1998,70
8,1999,71
8,2000,68
8,2001,62
8,2002,37
18,2009,20
18,2010,70
18,2011,64
18,2012,8
18,2013,6
18,2014,30
18,2015,48
18,2016,61
18,2017,49
18,2021,5
20,2002,52
20,2003,54
20,2004,65
20,2005,9
21,2002,17
23,2003,1
27,2001,32
27,2002,32
27,2003,32
27,2004,34
27,2005,30
27,2006,38
27,2007,38
27,2010,16
27,2011,22
27,2013,7
29,1996,62
29,2002,58
29,2003,51
29,2004,52
29,2005,26
29,2007,34
29,2008,50
29,2009,14
30,2002,31
30,2004,2
33,2000,27
33,2001,32
33,2002,54
33,2003,59
33,2004,20
33,2005,80
33,2006,71
33,2007,70
33,2008,73
33,2009,45
33,2010,15
34,1997,33
34,1998,33
34,1999,33
34,2000,34
34,2001,34
34,2002,26
34,2003,25
34,2004,28
34,2005,21
34,2006,28
34,2007,34
35,2002,29
35,2003,44
35,2004,60
35,2005,78
35,2006,74
35,2007,71
35,2008,64
35,2009,20
35,2010,43
36,2011,3
36,2012,43
36,2013,16
36,2014,9
36,2015,66
36,2016,54
36,2017,9
36,2018,48
36,2019,5
37,2007,82
39,1995,6
39,1996,26
39,1997,8
39,1998,46
39,1999,55
39,2000,44
39,2001,33
39,2002,17
40,1998,15
40,2000,14
40,2001,30
40,2002,32
40,2003,32
40,2004,25
40,2005,29
40,2006,31
40,2007,32
40,2008,30
40,2009,28
41,2002,63
41,2003,62
41,2004,18
41,2005,10
42,2002,7
42,2004,30
42,2005,49
42,2006,40
42,2007,56
42,2008,7
44,1998,33
44,1999,32
44,2000,37
44,2001,30
44,2002,37
44,2003,34
44,2004,35
44,2005,6
46,1997,11
46,1998,56
46,1999,39
46,2000,18
46,2001,48
46,2002,36
46,2003,36
46,2004,38
46,2005,71
46,2006,34
46,2007,33
46,2008,44
46,2009,56
46,2010,58
46,2011,35
46,2012,35
54,2001,139
56,2002,123
58,1996,11
58,1997,41
58,1998,33
58,1999,35
58,2000,35
58,2001,34
58,2002,30
58,2003,35
58,2005,15
58,2006,20
59,2002,16
59,2003,4
60,1998,34
60,1999,35
60,2000,35
60,2001,35
60,2002,35
60,2003,18
60,2004,35
60,2005,34
60,2006,33
60,2007,10
60,2008,30
60,2009,22
61,1999,25
61,2000,61
61,2001,78
61,2002,72
61,2003,56
61,2004,7
61,2005,40
61,2006,27
61,2007,28
62,2001,3
62,2003,13
63,2001,9
63,2002,54
63,2003,31
63,2004,76
63,2005,44
63,2006,2
63,2007,5
64,1996,14
64,1998,42
64,1999,65
64,2002,31
64,2003,50
64,2004,12
64,2005,34
67,1994,15
67,1995,21
67,1996,23
67,1997,31
67,1998,23
67,1999,34
67,2000,60
67,2001,31
67,2002,29
68,1999,71
68,2002,69
68,2003,64
68,2004,75
68,2005,65
68,2006,60
68,2007,72
69,2002,32
69,2003,47
69,2004,16
70,1995,20
70,2000,6
70,2002,16
70,2004,13
71,2002,7
71,2003,16
71,2004,19
71,2005,31
71,2006,8
71,2007,7
72,1994,9
72,1995,20
72,1996,30
72,1997,16
72,1998,11
72,1999,31
72,2000,31
72,2001,9
72,2002,2
73,1994,13
73,1995,17
73,1996,28
73,1997,35
73,1998,35
73,1999,24
73,2000,29
73,2001,35
73,2002,36
73,2003,24
73,2004,32
73,2005,32
73,2006,31
73,2007,24
75,1995,31
75,1996,34
75,1997,29
75,1998,33
75,1999,17
75,2000,18
75,2002,5
76,1994,24
76,1995,34
76,1996,21
76,1999,63
76,2000,64
76,2002,34
82,2002,2
82,2003,44
82,2004,3
85,2002,1
85,2004,12
85,2007,3
86,2002,5
86,2003,23
86,2005,62
90,1994,26
90,1995,29
90,1996,39
90,1997,33
90,1998,33
90,1999,36
90,2000,37
90,2001,35
90,2002,37
90,2003,33
90,2004,35
90,2005,33
90,2006,32
90,2007,35
90,2008,14
91,2002,56
91,2003,64
91,2004,69
91,2005,42
91,2006,6
92,1994,13
92,1995,25
92,1996,38
92,1998,3
92,2002,63
92,2003,62
92,2004,41
92,2005,55
92,2006,29
95,1994,28
95,1995,68
95,1996,62
95,1997,42
95,1999,44
95,2000,18
95,2002,55
95,2003,48
99,2011,10
99,2012,6
99,2013,3
99,2016,8
