"","X","athlete_display_name","athlete_id","position","season","pie.season","pie.game","games_played","pie.season.f","pie.season.s.p","pie.game.s.p","pct_season_played","pie.season.f.s.p","pie.season.s","pie.game.s","pie.season.f.s","birth_date","season_start","age","availability"
"1",1,"Latasha Byears",1,NA,2003,0.031496062992126,0.031496062992126,1,1.38582677165354,-0.790979304450807,-0.0338921380541712,0.0227272727272727,-0.0338921380541712,-0.790979304450807,-0.0338921380541712,-0.0338921380541712,"1973-08-12","2003-05-01",29,1
"2",2,"Latasha Byears",1,NA,2006,0.4353080870531,0.0167426187328116,26,0.736675224243708,-0.387045777426897,-0.32591447455168,0.590909090909091,-0.32591447455168,-0.387045777426897,-0.32591447455168,-0.32591447455168,"1973-08-12","2006-05-01",32,49
"3",3,"Latasha Byears",1,NA,2007,0.830324098132159,0.0296544320761485,28,1.30479501135054,0.152847131233196,0.236225602119572,0.636363636363636,0.236225602119572,0.152847131233197,0.236225602119572,0.236225602119572,"1973-08-12","2007-05-01",33,56
"4",4,"Latasha Byears",1,NA,2008,0.0240157858269511,0.00240157858269511,10,0.105669457638585,-0.708292017476648,-0.598740364508192,0.227272727272727,-0.598740364508192,-0.708292017476648,-0.598740364508192,-0.598740364508192,"1973-08-12","2008-05-01",34,14
"5",5,"Erika de Souza",2,"F",2007,0.749783981892424,0.0241865800610459,31,1.06420952268602,-0.745242691416682,-0.765608147974056,0.704545454545455,-0.765608147974056,-0.745242691416682,-0.765608147974056,-0.765608147974056,"1982-03-09","2007-05-01",25,43
"6",6,"Erika de Souza",2,"F",2008,0.691154822034849,0.0691154822034849,10,3.04108121695334,-0.762758881111589,0.215176438573335,0.227272727272727,0.215176438573335,-0.762758881111589,0.215176438573335,0.215176438573335,"1982-03-09","2008-05-01",26,7
"7",7,"Erika de Souza",2,"F",2009,3.21778763480242,0.0869672333730383,37,3.82655826841369,0.836616293508675,0.700832081115761,0.840909090909091,0.700832081115761,0.836616293508675,0.700832081115761,0.700832081115761,"1982-03-09","2009-05-01",27,76
"8",8,"Erika de Souza",2,"F",2010,3.73638000779537,0.0911312197023262,41,4.00977366690235,1.09575462387305,0.726685599972373,0.931818181818182,0.726685599972373,1.09575462387305,0.726685599972373,0.726685599972373,"1982-03-09","2010-05-01",28,89
"9",9,"Erika de Souza",2,"F",2011,3.17904864041779,0.0859202335248052,37,3.78049027509143,0.962830551591517,0.807630534064523,0.840909090909091,0.807630534064522,0.962830551591517,0.807630534064523,0.807630534064523,"1982-03-09","2011-05-01",29,76
"10",10,"Erika de Souza",2,"F",2012,1.39334050097423,0.0819612059396605,17,3.60629306134506,-0.256106255083896,0.722478025763309,0.386363636363636,0.722478025763309,-0.256106255083896,0.722478025763309,0.722478025763309,"1982-03-09","2012-05-01",30,14
"11",11,"Erika de Souza",2,"F",2013,5.74952014198783,0.133709770743903,43,5.88322991273173,2.32469907138884,1.70184441569691,0.977272727272727,1.70184441569691,2.32469907138884,1.70184441569691,1.70184441569691,"1982-03-09","2013-05-01",31,94
"12",12,"Erika de Souza",2,"F",2014,4.01576546932595,0.108534201873674,37,4.77550488244167,1.51493000452976,1.4127388328497,0.840909090909091,1.4127388328497,1.51493000452976,1.4127388328497,1.4127388328497,"1982-03-09","2014-05-01",32,77
"13",13,"Erika de Souza",2,"F",2015,1.94981433621134,0.0526976847624687,37,2.31869812954862,0.232650425969581,0.0734120137756059,0.840909090909091,0.073412013775606,0.232650425969581,0.0734120137756059,0.073412013775606,"1982-03-09","2015-05-01",33,77
"14",14,"Erika de Souza",2,"F",2016,1.52223797310768,0.0434925135173623,35,1.91367059476394,0.013405044579007,-0.0474715135208415,0.795454545454545,-0.0474715135208414,0.0134050445790069,-0.0474715135208416,-0.0474715135208415,"1982-03-09","2016-05-01",34,65
"15",15,"Erika de Souza",2,"F",2017,0.66390037233142,0.0245889026789415,27,1.08191171787342,-0.442953307209952,-0.367542018746217,0.613636363636364,-0.367542018746217,-0.442953307209952,-0.367542018746217,-0.367542018746217,"1982-03-09","2017-05-01",35,31
"16",16,"Tamecka Dixon",3,NA,2003,2.4801885949715,0.0885781641061249,28,3.89743922066949,1.53674669241654,1.43829497733598,0.636363636363636,1.43829497733598,1.53674669241654,1.43829497733598,1.43829497733598,"1975-12-14","2003-05-01",27,56
"17",17,"Tamecka Dixon",3,NA,2004,2.37229935667832,0.0818034260923559,29,3.59935074806366,1.25529392595819,1.29282255860675,0.659090909090909,1.29282255860675,1.25529392595819,1.29282255860675,1.29282255860675,"1975-12-14","2004-05-01",28,61
"18",18,"Tamecka Dixon",3,NA,2006,0.585615580473533,0.0234246232189413,25,1.03068342163342,-0.24959051112945,-0.110348034564565,0.568181818181818,-0.110348034564565,-0.24959051112945,-0.110348034564565,-0.110348034564565,"1975-12-14","2006-05-01",30,45
"19",19,"Tamecka Dixon",3,NA,2007,1.44488999498762,0.0802716663882011,18,3.53195332108085,0.949880879852056,2.19562788813302,0.409090909090909,2.19562788813302,0.949880879852056,2.19562788813302,2.19562788813302,"1975-12-14","2007-05-01",31,26
"20",20,"Tamecka Dixon",3,NA,2008,0.846695078996486,0.0368128295215864,23,1.6197644989498,0.345913980354145,0.772251386284708,0.522727272727273,0.772251386284708,0.345913980354145,0.772251386284708,0.772251386284708,"1975-12-14","2008-05-01",32,39
"21",21,"Tamecka Dixon",3,NA,2009,0.635894268353131,0.0151403397226936,42,0.666174947798518,0.201456302270475,-0.235924543543407,0.954545454545455,-0.235924543543407,0.201456302270475,-0.235924543543407,-0.235924543543407,"1975-12-14","2009-05-01",33,100
