"","X","athlete_id","athlete_display_name","position","team_id","season","pie.season","pie.game","games_played","pie.season.f","pie.season.s.p","pie.game.s.p","pct_season_played","pie.season.f.s.p","pie.season.s","pie.game.s","pie.season.f.s","birth_date","season_start","age","availability"
"1",1,2,"Tariq Abdul-Wahad","F",1610612742,2002,0.395444117435682,0.0164768382264868,24,1.35110073457191,-0.902277454874368,-0.803092422184765,0.292682926829268,-0.803092422184765,-0.904423183124217,-0.805002276064204,-0.805002276064203,"1974-11-03","2002-10-01",27,19
"2",2,2,"Tariq Abdul-Wahad","F",1610612742,2003,0.409741633779903,0.0186246197172683,22,1.527218816816,-0.870242706649454,-0.621118649835743,0.268292682926829,-0.621118649835743,-0.872342209596166,-0.622617128852716,-0.622617128852716,"1974-11-03","2003-10-01",28,18
"3",3,3,"Shareef Abdur-Rahim","F",1610612737,2002,8.54259387379296,0.110942777581727,77,9.09730776170159,1.89610301213234,2.0677147069367,0.939024390243902,2.0677147069367,1.90061218143029,2.07263199023501,2.07263199023501,"1976-12-11","2002-10-01",25,73
"4",4,3,"Shareef Abdur-Rahim","F",1610612737,2003,9.14015015759376,0.112841359970293,81,9.25299151756406,1.93852532054554,1.98538434802615,0.98780487804878,1.98538434802615,1.94320210736795,1.99017418453634,1.99017418453634,"1976-12-11","2003-10-01",26,81
"5",5,3,"Shareef Abdur-Rahim","F",1610612757,2004,8.12313810675241,0.0955663306676754,85,7.83643911474938,1.63919954969815,1.56129293594201,1.03658536585366,1.56129293594201,1.64306103808723,1.56497089848489,1.56497089848489,"1976-12-11","2004-10-01",27,88
"6",6,3,"Shareef Abdur-Rahim","F",1610612757,2005,5.23381965272391,0.0969225861615538,54,7.94765206524741,0.823159175266492,1.50877439998831,0.658536585365854,1.50877439998831,0.8250712781338,1.51227910714948,1.51227910714948,"1976-12-11","2005-10-01",28,41
"7",7,3,"Shareef Abdur-Rahim","F",1610612758,2006,4.64301474381087,0.0595258300488572,78,4.88111806400629,0.536035346539468,0.514270667349298,0.951219512195122,0.514270667349298,0.537286305875613,0.515470833899468,0.515470833899468,"1976-12-11","2006-10-01",29,75
"8",8,3,"Shareef Abdur-Rahim","F",1610612758,2007,3.37241245152254,0.0421551556440318,80,3.4567227628106,0.188387603679209,0.0665675997891751,0.975609756097561,0.066567599789175,0.188832439254096,0.066724784423104,0.0667247844231039,"1976-12-11","2007-10-01",30,79
"9",9,3,"Shareef Abdur-Rahim","F",1610612758,2008,0.0120825644967723,0.00201376074946205,6,0.165128381455888,-0.948890698005597,-1.12543254293775,0.0731707317073171,-1.12543254293775,-0.95112601487933,-1.12808374223685,-1.12808374223685,"1976-12-11","2008-10-01",31,5
"10",10,7,"Courtney Alexander","G",1610612764,2002,2.19576564878786,0.0392101008712117,56,3.21522827143936,-0.30390795398073,-0.114858898282189,0.682926829268293,-0.114858898282189,-0.304630684975157,-0.115132047058609,-0.115132047058609,"1977-04-27","2002-10-01",25,43
"11",11,7,"Courtney Alexander","G",1610612766,2003,1.48372760026187,0.0208975718346742,71,1.71360089044328,-0.554013685840152,-0.641889096253683,0.865853658536585,-0.641889096253683,-0.55535027086069,-0.643437684985021,-0.643437684985021,"1977-04-27","2003-10-01",26,63
"12",12,9,"Ray Allen","G",1610612749,2002,7.20271566331914,0.104387183526364,69,8.55974904916188,1.43186700859628,1.80872998580894,0.841463414634146,1.80872998580894,1.43527216681427,1.81303137115991,1.81303137115991,"1975-07-20","2002-10-01",27,61
"13",13,9,"Ray Allen","G",1610612749,2003,4.21158067049665,0.0896080993722692,47,7.34786414852607,0.344270010864969,1.35387023353957,0.573170731707317,1.35387023353957,0.345100579046411,1.35713651146763,1.35713651146763,"1975-07-20","2003-10-01",28,34
"14",14,9,"Ray Allen","G",1610612738,2008,11.4453816556132,0.115609915713264,99,9.48001308848767,1.93220288965366,1.33201187327722,1.20731707317073,1.33201187327722,1.93675461065988,1.33514971478268,1.33514971478268,"1975-07-20","2008-10-01",33,99
"15",15,9,"Ray Allen","G",1610612738,2009,8.2904891355676,0.0891450444684689,93,7.30989364641445,1.86985649607379,1.40251682362869,1.13414634146341,1.40251682362869,1.87419995487863,1.40577470681883,1.40577470681883,"1975-07-20","2009-10-01",34,96
"16",16,9,"Ray Allen","G",1610612738,2010,8.07360566027732,0.0776308236565127,104,6.36572753983404,1.96203145220802,1.16076125814639,1.26829268292683,1.16076125814639,1.96663176673465,1.16348285920522,1.16348285920522,"1975-07-20","2010-10-01",35,100
"17",17,9,"Ray Allen","G",1610612738,2011,8.10438178015234,0.091060469439914,89,7.46695849407294,1.80734922459494,1.57779442199741,1.08536585365854,1.57779442199741,1.81148031392643,1.58140081395271,1.58140081395271,"1975-07-20","2011-10-01",36,93
"18",18,9,"Ray Allen","G",1610612738,2012,4.37505598575798,0.0683602497774685,64,5.60554048175242,1.02061042566476,0.9176420635256,0.780487804878049,0.9176420635256,1.02283156088305,0.919639110639591,0.919639110639591,"1975-07-20","2012-10-01",37,53
"19",19,9,"Ray Allen","G",1610612748,2013,4.82529383763331,0.0477751865112208,101,3.91756529392011,0.818536141022162,0.288870310947502,1.23170731707317,0.288870310947502,0.820345062877023,0.2895086991536,0.2895086991536,"1975-07-20","2013-10-01",38,100
"20",20,9,"Ray Allen","G",1610612748,2014,4.26605933072749,0.0458716057067472,93,3.76147166795327,0.620086782800665,0.241478081084241,1.13414634146341,0.241478081084241,0.621416016443501,0.241995719579831,0.241995719579831,"1975-07-20","2014-10-01",39,96
"21",21,10,"Malik Allen","F",1610612748,2002,0.301101889836062,0.0250918241530052,12,2.05752958054642,-0.9346820938983,-0.541284164267323,0.146341463414634,-0.541284164267324,-0.936904884418745,-0.542571405476987,-0.542571405476987,"1978-06-27","2002-10-01",24,10
"22",22,10,"Malik Allen","F",1610612748,2003,2.96305755746189,0.0370382194682736,80,3.03713399639844,-0.0487837668754788,-0.111707022734971,0.975609756097561,-0.111707022734971,-0.0489014600908591,-0.111976521372085,-0.111976521372085,"1978-06-27","2003-10-01",25,79
"23",23,10,"Malik Allen","F",1610612748,2004,0.977381502709926,0.0177705727765441,55,1.45718696767662,-0.632067757702421,-0.64585139730759,0.670731707317073,-0.64585139730759,-0.633556729748521,-0.647372839692219,-0.647372839692219,"1978-06-27","2004-10-01",26,42
"24",24,10,"Malik Allen","F",1610612748,2005,0.406786131538871,0.0290561522527765,14,2.38260448472767,-0.841509204872408,-0.344417624013422,0.170731707317073,-0.344417624013422,-0.84346393272074,-0.345217666029857,-0.345217666029857,"1978-06-27","2005-10-01",27,11
"25",25,10,"Malik Allen","F",1610612741,2006,1.18396026969675,0.0197326711616126,60,1.61807903525223,-0.486866182236752,-0.520726742875697,0.731707317073171,-0.520726742875697,-0.488002394242273,-0.521941976133701,-0.521941976133701,"1978-06-27","2006-10-01",28,48
"26",26,10,"Malik Allen","F",1610612741,2007,0.752940075977448,0.0115836934765761,65,0.949862865079242,-0.669900740864361,-0.74948787300878,0.792682926829268,-0.749487873008779,-0.671482562997877,-0.751257622516441,-0.751257622516441,"1978-06-27","2007-10-01",29,54
"27",27,10,"Malik Allen","F",1610612742,2008,1.84837868884494,0.0243207722216439,76,1.9943033221748,-0.518004559904664,-0.650044068830593,0.926829268292683,-0.650044068830593,-0.519224831465824,-0.651575387958055,-0.651575387958055,"1978-06-27","2008-10-01",30,72
"28",28,10,"Malik Allen","F",1610612749,2009,0.467589914936317,0.00954265132523095,49,0.782497408668938,-0.861254599676764,-0.953807729939332,0.597560975609756,-0.953807729939332,-0.863255193776916,-0.956023314178781,-0.956023314178781,"1978-06-27","2009-10-01",31,37
"29",29,10,"Malik Allen","F",1610612743,2010,0.211839760804873,0.00407384155393986,52,0.334055007423069,-0.931053713958613,-1.12944635565111,0.634146341463415,-1.12944635565111,-0.933236726835684,-1.13209453362557,-1.13209453362557,"1978-06-27","2010-10-01",32,39
"30",30,10,"Malik Allen","F",1610612753,2011,0.0106291637713706,0.000590509098409479,18,0.0484217460695773,-0.957265741451262,-1.16149013716973,0.219512195121951,-1.16149013716973,-0.95945378028631,-1.16414497523257,-1.16414497523257,"1978-06-27","2011-10-01",33,14
"31",31,11,"Rafer Alston","G",1610612749,2002,1.23618452252952,0.0247236904505903,50,2.02734261694841,-0.63656893295729,-0.542400250553598,0.609756097560976,-0.542400250553598,-0.638082773223434,-0.543690145955562,-0.543690145955562,"1976-07-24","2002-10-01",26,37
"32",32,11,"Rafer Alston","G",1610612761,2003,1.90115838032212,0.0404501783047259,47,3.31691462098753,-0.416553472780087,-0.0739659819531756,0.573170731707317,-0.0739659819531755,-0.417558428336603,-0.0741444284898492,-0.0741444284898493,"1976-07-24","2003-10-01",27,34
"33",33,11,"Rafer Alston","G",1610612748,2004,5.40340083399704,0.0568779035157583,95,4.66398808829218,0.798354026348166,0.452940568496153,1.15853658536585,0.452940568496153,0.800234721595848,0.454007567780355,0.454007567780355,"1976-07-24","2004-10-01",28,97
"34",34,11,"Rafer Alston","G",1610612761,2005,6.17429216010174,0.0781555969633132,79,6.40875895099168,0.975979903408108,1.01718782867847,0.963414634146341,1.01718782867847,0.978246991023499,1.0195506375036,1.0195506375036,"1976-07-24","2005-10-01",29,77
"35",35,11,"Rafer Alston","G",1610612745,2006,4.7451628930781,0.0753200459218746,63,6.17624376559372,0.513604275946732,0.891784448295337,0.768292682926829,0.891784448295336,0.514802887322319,0.893865628367929,0.893865628367929,"1976-07-24","2006-10-01",30,52
"36",36,11,"Rafer Alston","G",1610612745,2007,6.32015678282228,0.0710129975598009,89,5.82306579990368,1.12115711583589,0.811404088057879,1.08536585365854,0.811404088057879,1.12380447988969,0.813320038985264,0.813320038985264,"1976-07-24","2007-10-01",31,93
"37",37,11,"Rafer Alston","G",1610612745,2008,7.7886170402574,0.0998540646186846,78,8.18803329873214,0.978288797579518,0.976826293368585,0.951219512195122,0.976826293368585,0.980593368022889,0.97912741856758,0.97912741856758,"1976-07-24","2008-10-01",32,75
"38",38,11,"Rafer Alston","G",1610612753,2009,6.33808607824958,0.0633808607824958,100,5.19723058416466,1.1840170750971,0.631681749768441,1.21951219512195,0.63168174976844,1.1867674088263,0.633149072883156,0.633149072883156,"1976-07-24","2009-10-01",33,99
"39",39,11,"Rafer Alston","G",1610612748,2010,1.76812687685821,0.034002439939581,52,2.78820007504564,-0.468409429641066,-0.291371468988197,0.634146341463415,-0.291371468988197,-0.469507694758661,-0.292054638669255,-0.292054638669255,"1976-07-24","2010-10-01",34,39
"40",40,13,"John Amaechi","F",1610612762,2002,0.136785364370261,0.00253306230315298,54,0.207711108858545,-0.991121483012402,-1.22684188787362,0.658536585365854,-1.22684188787362,-0.993478493434909,-1.22975947079968,-1.22975947079968,"1970-11-26","2002-10-01",31,41
"41",41,13,"John Amaechi","F",1610612762,2003,0.0354986148969784,0.000682665671095739,52,0.0559785850298506,-0.990645070750979,-1.11748221413713,0.634146341463415,-1.11748221413713,-0.993035050269675,-1.12017819444647,-1.12017819444647,"1970-11-26","2003-10-01",32,39
"42",42,14,"Nick Anderson","F",1610612763,2002,0.135688551703044,0.00904590344686963,15,0.741764082643309,-0.991498215886559,-1.02891752578257,0.182926829268293,-1.02891752578257,-0.993856122226798,-1.03136441990578,-1.03136441990578,"1968-01-20","2002-10-01",34,12
"43",43,15,"Kenny Anderson","G",1610612738,2002,5.94586776925901,0.0646289974919457,92,5.29957779433955,0.996151632979243,0.635335878679649,1.1219512195122,0.635335878679649,0.998520605725342,0.63684678658903,0.63684678658903,"1970-10-09","2002-10-01",31,95
"44",44,15,"Kenny Anderson","G",1610612766,2003,0.7183731844863,0.025656185160225,28,2.10380718313845,-0.806045366502956,-0.503670874364027,0.341463414634146,-0.503670874364027,-0.807989990237491,-0.504886004898096,-0.504886004898095,"1970-10-09","2003-10-01",32,20
"45",45,15,"Kenny Anderson","G",1610612754,2004,1.40915724120137,0.0293574425250286,48,2.40731028705234,-0.57939048465529,-0.359039119515728,0.585365853658537,-0.359039119515728,-0.580755364013421,-0.359884913666594,-0.359884913666594,"1970-10-09","2004-10-01",33,35
"46",46,15,"Kenny Anderson","G",1610612746,2005,1.07982269664988,0.0251121557360437,43,2.05919677035558,-0.675739559954772,-0.535655268745255,0.524390243902439,-0.535655268745255,-0.67730922422988,-0.536899533531498,-0.536899533531498,"1970-10-09","2005-10-01",34,31
"47",47,17,"Shandon Anderson","F",1610612752,2002,1.90747999079721,0.0232619511072831,82,1.90747999079721,-0.382923842879367,-0.596893758803734,1,-0.596893758803734,-0.383834483506337,-0.598313246560526,-0.598313246560527,"1973-12-31","2002-10-01",28,83
"48",48,17,"Shandon Anderson","F",1610612752,2003,2.88246775815313,0.0351520458311358,82,2.88246775815313,-0.0747113109301536,-0.163887953920711,1,-0.163887953920711,-0.0748915556093127,-0.164283341597687,-0.164283341597687,"1973-12-31","2003-10-01",29,83
"49",49,17,"Shandon Anderson","F",1610612752,2004,2.35323250453933,0.0280146726730873,84,2.29720315919316,-0.194755717359256,-0.355215922458958,1.02439024390244,-0.355215922458958,-0.195214506492909,-0.356052710243853,-0.356052710243852,"1973-12-31","2004-10-01",30,87
"50",50,17,"Shandon Anderson","F",1610612748,2005,1.55618554842538,0.0216136881725747,72,1.77232243015113,-0.445123131097779,-0.547644967458168,0.878048780487805,-0.547644967458168,-0.446157100275128,-0.548917082917739,-0.548917082917738,"1973-12-31","2005-10-01",31,65
